Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
my_functional_tests,Firefox 67.0,,,2019-09-16 18:50:51,2019-09-16 18:50:59,8.654s,INCOMPLETE
,,,,,,,
Test Cases/KatalonicsBlog/Functional Test Cases/search_for_test,Firefox 67.0,,,2019-09-16 18:50:51,2019-09-16 18:50:59,8.311s,PASSED
Start listener action : beforeTestCase,Firefox 67.0,,,2019-09-16 18:50:51,2019-09-16 18:50:51,0.476s,PASSED
"openBrowser("""")",Firefox 67.0,,,2019-09-16 18:50:52,2019-09-16 18:50:57,4.948s,PASSED
"navigateToUrl(""https://katalonics.blogspot.com/"")",Firefox 67.0,,,2019-09-16 18:50:57,2019-09-16 18:50:57,0.810s,PASSED
"setText(findTestObject(""Page_Katalonics/input_Search This Blog_q""), ""test"")",Firefox 67.0,,,2019-09-16 18:50:57,2019-09-16 18:50:57,0.139s,PASSED
"click(findTestObject(""Object Repository/Page_Katalonics/div_Search This BlogHomeInstall""))",Firefox 67.0,,,2019-09-16 18:50:57,2019-09-16 18:50:58,0.252s,PASSED
"click(findTestObject(""Object Repository/Page_Katalonics/input_Search This Blog_gsc-search-button""))",Firefox 67.0,,,2019-09-16 18:50:58,2019-09-16 18:50:58,0.511s,PASSED
"click(findTestObject(""Object Repository/Page_Katalonics Search results for test/div_No posts matching the query test Show all posts""))",Firefox 67.0,,,2019-09-16 18:50:58,2019-09-16 18:50:59,0.252s,PASSED
closeBrowser(),Firefox 67.0,,,2019-09-16 18:50:59,2019-09-16 18:50:59,0.729s,PASSED
